player,guesses,time_elapsed_seconds
Scoot Henderson,8,0
Darius Garland,8,413
Darius Garland,8,611
Nickeil Alexander-Walker,8,551
Nickeil Alexander-Walker,8,689
Keegan Murray,8,127
Keegan Murray,8,273
Jalen Williams,8,139
Dalen Terry,8,305
De'Andre Hunter,8,139
Jeremiah Fears,8,94
Aaron Gordon,8,126
Collin Sexton,8,89
Alex Caruso,8,87
Scoot Henderson,8,124
Day'Ron Sharpe,8,68
James Harden,8,274
Alex Caruso,8,57
Alex Caruso,1,7
Alex Caruso,1,5
Alex Caruso,2,174
Alex Caruso,3,251
Alex Caruso,4,281
Alex Caruso,5,317
Alex Caruso,6,449
Alex Caruso,7,555
Shai Gilgeous-Alexander,3,-14227
